date,population,population_2d,population_3d,precip,humidity,temp,lw_avg_temp,lw_avg_humidity,lw_precip
2010_33,663.0,538.5,544.6666666666666,0.0,71.14285714285714,20.142857142857142,21.42857142857143,74.42857142857142,0.0
2010_34,646.25,536.0,523.6666666666666,0.0,73.0,23.285714285714285,21.80952380952381,72.76190476190476,0.0
2010_35,626.75,528.0,483.3333333333333,0.0,71.14285714285714,25.0,22.80952380952381,71.76190476190474,0.0
2010_36,533.25,446.5,459.6666666666667,0.0,73.14285714285714,22.285714285714285,23.52380952380952,72.42857142857142,0.0
2010_37,491.25,440.0,516.6666666666666,0.0,72.57142857142857,23.285714285714285,23.52380952380952,72.28571428571428,0.0
2010_38,484.0,578.0,575.3333333333334,0.0,76.14285714285714,24.0,23.19047619047619,73.95238095238095,0.0
2010_39,512.25,620.0,607.0,0.0,81.14285714285714,25.142857142857142,24.142857142857142,76.6190476190476,0.0
2010_40,530.0,575.5,531.0,0.0,76.42857142857143,23.857142857142858,24.33333333333333,77.9047619047619,0.0
2010_41,576.75,511.5,527.3333333333334,0.0,73.57142857142857,23.142857142857142,24.047619047619047,77.04761904761904,0.0
2010_42,565.75,500.5,451.3333333333333,0.0,69.42857142857143,24.714285714285715,23.90476190476191,73.14285714285714,0.0
2010_43,538.0,456.0,395.6666666666667,0.0,78.0,25.714285714285715,24.52380952380952,73.66666666666667,0.0
2010_44,483.75,314.0,306.0,0.0,85.0,24.285714285714285,24.90476190476191,77.47619047619047,0.0
2010_45,407.25,282.5,335.3333333333333,0.0,82.14285714285714,23.714285714285715,24.571428571428573,81.71428571428571,0.0
2010_46,369.25,365.5,487.0,0.0,85.14285714285714,24.857142857142858,24.28571428571429,84.09523809523809,0.0
2010_47,339.75,585.5,1107.0,0.0,83.0,25.714285714285715,24.761904761904763,83.42857142857143,0.0
2010_48,434.0,1440.0,1591.3333333333333,0.0,71.85714285714286,27.714285714285715,26.0952380952381,79.99999999999999,0.0
2010_49,902.75,2022.0,1849.3333333333333,0.0,76.71428571428571,27.428571428571427,26.952380952380956,77.19047619047619,0.0
2010_50,1303.75,1699.0,1382.6666666666667,0.0,73.14285714285714,28.285714285714285,27.80952380952381,73.90476190476188,0.0
2010_51,1569.5,1127.0,934.0,0.0,77.0,27.857142857142858,27.857142857142858,75.6190476190476,0.0
2010_52,1574.5,649.0,813.0,0.0,86.57142857142857,25.428571428571427,27.19047619047619,78.9047619047619,0.0
2011_01,1174.0,844.5,991.0,0.0,78.42857142857143,27.142857142857142,26.80952380952381,80.66666666666667,0.0
2011_02,985.75,1212.5,1105.3333333333333,0.0,78.42857142857143,28.0,26.857142857142858,81.14285714285714,0.0
2011_03,930.75,1087.5,1209.0,0.0,75.71428571428571,27.857142857142858,27.666666666666668,77.52380952380952,0.0
2011_04,966.0,1171.5,1265.3333333333333,0.0,75.85714285714286,27.285714285714285,27.71428571428571,76.66666666666667,0.0
2011_05,1192.0,1452.5,1364.3333333333333,0.0,71.85714285714286,27.857142857142858,27.666666666666668,74.47619047619047,0.0
2011_06,1270.0,1320.5,1155.0,0.0,71.71428571428571,28.0,27.71428571428571,73.14285714285714,0.0
2011_07,1246.0,1006.0,977.3333333333334,0.0,78.57142857142857,27.428571428571427,27.76190476190476,74.04761904761904,0.0
2011_08,1229.25,872.0,808.0,0.0,79.0,27.714285714285715,27.71428571428571,76.42857142857143,0.0
2011_09,1096.25,800.0,641.3333333333334,0.0,82.28571428571429,26.285714285714285,27.14285714285714,79.95238095238095,0.0
2011_10,903.0,502.0,551.3333333333334,0.0,91.71428571428572,26.0,26.666666666666668,84.33333333333333,0.0
